AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Primera Division,2010,Premier League,CDM,Tier_1,Tier_1,U30,40Mto10M,85above,85above,SA
Primera Division,2010,Liga Nos,RW,Tier_1,Tier_1,U25,40Mto10M,85above,65to74,SA
Premier League,2014,Primera Division,RW,Tier_1,Tier_1,U30,80Mto40M,85above,85above,SA
Ligue 1,2015,Premier League,RW,Tier_1,Tier_1,U30,80Mto40M,85above,85above,SA
Premier League,2010,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,SA
Premier Liga,2010,Other,CB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
Liga Nos,2012,Premier Liga,CB,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,SA
Premier League,2014,Liga Nos,CB,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,SA
Premier League,2010,Other,CB,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,SA
Primera Division,2013,Other,CB,Tier_2,Tier_4,U30,Below1M,75to84,65to74,SA
Serie A,2010,Serie A,CM,Tier_3,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2010,Ligue 1,CM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,SA
Premier Liga,2013,Ligue 1,CM,Tier_2,Tier_1,U30,10Mto1M,75to84,65to74,SA
Serie A,2010,Serie A,CF,Tier_2,Tier_1,U30,10Mto1M,75to84,65to74,SA
Serie A,2012,Serie A,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,SA
Primera Division,2010,Serie A,LW,Tier_3,Tier_1,U30,10Mto1M,75to84,65to74,SA
Liga Nos,2010,Premier League,CF,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,SA
Premier League,2010,Premier League,CF,Tier_3,Tier_1,U21,10Mto1M,75to84,65to74,SA
1 Bundesliga,2015,1 Bundesliga,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,SA
Serie A,2010,Serie A,CB,Tier_1,Tier_1,U30,10Mto1M,75to84,65to74,SA
Premier Liga,2010,Primera Division,CB,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,SA
Primera Division,2014,Premier Liga,CB,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,SA
