AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
1 Bundesliga,2009,Other,CAM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2012,1 Bundesliga,CAM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,Premier League,CAM,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2009,Other,GK,Tier_2,Tier_4,A30,Below1M,75to84,65to74,EU
Premier League,2009,Premier League,CB,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
Premier League,2015,Premier League,CB,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2009,Other,CAM,Tier_2,Tier_4,U21,Below1M,below65,65to74,EU
1 Bundesliga,2012,1 Bundesliga,CAM,Tier_1,Tier_2,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2010,1 Bundesliga,RB,Tier_2,Tier_4,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2010,1 Bundesliga,CF,Tier_1,Tier_1,U30,10Mto1M,85above,75to84,EU
1 Bundesliga,2010,1 Bundesliga,GK,Tier_2,Tier_1,A30,Below1M,75to84,65to74,EU
1 Bundesliga,2010,1 Bundesliga,RW,Tier_1,Tier_2,U25,10Mto1M,65to74,below65,EU
1 Bundesliga,2014,1 Bundesliga,RW,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier League,2010,1 Bundesliga,CB,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,EU
1 Bundesliga,2011,Premier League,CB,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Primera Division,2010,1 Bundesliga,CAM,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,EU
Premier League,2013,Primera Division,CAM,Tier_1,Tier_1,U25,80Mto40M,85above,85above,EU
1 Bundesliga,2010,1 Bundesliga,CDM,Tier_2,Tier_2,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2018,1 Bundesliga,CDM,Tier_2,Tier_1,U30,40Mto10M,75to84,75to84,EU
1 Bundesliga,2010,1 Bundesliga,CDM,Tier_3,Tier_2,U25,Below1M,75to84,65to74,EU
Primera Division,2010,1 Bundesliga,CM,Tier_1,Tier_2,U25,40Mto10M,85above,65to74,EU
1 Bundesliga,2010,1 Bundesliga,CB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2010,1 Bundesliga,CAM,Tier_2,Tier_2,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2010,1 Bundesliga,LB,Tier_3,Tier_2,U30,Below1M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,CF,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2010,Other,CF,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CF,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2010,1 Bundesliga,CF,Tier_3,Tier_3,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2010,1 Bundesliga,CB,Tier_1,Tier_3,A30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2010,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,below65,EU
1 Bundesliga,2010,Other,CM,Tier_2,Tier_4,U21,Below1M,85above,65to74,EU
1 Bundesliga,2010,Other,CAM,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2010,Other,CM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2019,1 Bundesliga,CM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2011,1 Bundesliga,CM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2016,1 Bundesliga,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,RW,Tier_2,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CF,Tier_4,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CAM,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CM,Tier_4,Tier_1,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CAM,Tier_3,Tier_2,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CB,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,LB,Tier_2,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,RB,Tier_3,Tier_1,U30,10Mto1M,75to84,65to74,EU
Premier League,2013,1 Bundesliga,RB,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2014,Premier League,RB,Tier_3,Tier_2,A30,Below1M,75to84,75to84,EU
1 Bundesliga,2011,1 Bundesliga,CDM,Tier_3,Tier_2,U30,Below1M,75to84,65to74,EU
Premier League,2011,1 Bundesliga,CB,Tier_1,Tier_2,U30,40Mto10M,85above,75to84,EU
1 Bundesliga,2011,1 Bundesliga,RB,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CB,Tier_2,Tier_1,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CDM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,GK,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Premier League,2018,1 Bundesliga,GK,Tier_1,Tier_1,U30,40Mto10M,85above,85above,EU
1 Bundesliga,2011,1 Bundesliga,LB,Tier_2,Tier_2,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2011,1 Bundesliga,GK,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2011,1 Bundesliga,LW,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Premier League,2013,1 Bundesliga,LW,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2014,Premier League,LW,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2016,1 Bundesliga,LW,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2011,Other,CB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Eredivisie,2016,1 Bundesliga,CB,Tier_3,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2011,Other,CB,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CB,Tier_2,Tier_3,U30,Below1M,75to84,75to84,EU
1 Bundesliga,2011,Other,RB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2011,Other,CM,Tier_2,Tier_4,U21,Below1M,65to74,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CM,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,RW,Tier_2,Tier_4,U25,10Mto1M,75to84,below65,EU
1 Bundesliga,2014,1 Bundesliga,RW,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,LB,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,LB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2011,Other,CAM,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2011,Other,CDM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2011,Other,RW,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,RW,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_3,Tier_3,U30,10Mto1M,65to74,65to74,EU
Serie A,2011,Serie A,CM,Tier_1,Tier_1,U21,10Mto1M,85above,65to74,EU
1 Bundesliga,2011,Other,CDM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CDM,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2011,Other,CF,Tier_1,Tier_4,U25,10Mto1M,75to84,below65,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2011,Premier Liga,CM,Tier_2,Tier_2,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2011,Other,CB,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2011,Other,CF,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2011,Other,GK,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2012,1 Bundesliga,RB,Tier_1,Tier_3,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RB,Tier_1,Tier_3,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,below65,EU
Premier League,2015,1 Bundesliga,CB,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2017,Premier League,CB,Tier_4,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,LB,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,LB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2012,1 Bundesliga,CF,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2012,1 Bundesliga,GK,Tier_4,Tier_1,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2017,1 Bundesliga,GK,Tier_3,Tier_2,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2012,1 Bundesliga,CF,Tier_4,Tier_3,U30,Below1M,65to74,65to74,EU
Premier League,2012,1 Bundesliga,RW,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,CAM,Tier_4,Tier_2,U21,Below1M,75to84,below65,EU
1 Bundesliga,2012,1 Bundesliga,CF,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CF,Tier_3,Tier_1,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,CAM,Tier_4,Tier_2,U25,Below1M,75to84,75to84,EU
Serie A,2012,1 Bundesliga,CB,Tier_1,Tier_2,U30,Below1M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,RB,Tier_4,Tier_2,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2012,Other,LW,Tier_2,Tier_4,U21,10Mto1M,65to74,65to74,EU
1 Bundesliga,2012,Other,GK,Tier_2,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2012,1 Bundesliga,GK,Tier_2,Tier_4,U21,10Mto1M,75to84,below65,EU
Ligue 1,2015,1 Bundesliga,GK,Tier_1,Tier_2,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2019,Ligue 1,GK,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2012,1 Bundesliga,CDM,Tier_1,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2012,Other,CF,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CF,Tier_1,Tier_2,U30,40Mto10M,75to84,75to84,EU
1 Bundesliga,2016,1 Bundesliga,CF,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2012,Other,CB,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2012,1 Bundesliga,CB,Tier_3,Tier_4,U21,Below1M,75to84,below65,EU
1 Bundesliga,2014,1 Bundesliga,CB,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2012,1 Bundesliga,LW,Tier_2,Tier_4,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2012,Other,CDM,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2012,Other,CAM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CAM,Tier_3,Tier_1,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2015,1 Bundesliga,CAM,Tier_3,Tier_3,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CAM,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2012,Other,RW,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,RW,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,RW,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2018,1 Bundesliga,RW,Tier_3,Tier_2,U30,10Mto1M,65to74,75to84,EU
1 Bundesliga,2012,Other,CF,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,RW,Tier_2,Tier_3,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CDM,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2014,1 Bundesliga,CDM,Tier_1,Tier_1,U21,40Mto10M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CDM,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CAM,Tier_1,Tier_1,U21,40Mto10M,85above,75to84,EU
1 Bundesliga,2016,1 Bundesliga,CAM,Tier_1,Tier_1,U25,40Mto10M,85above,85above,EU
1 Bundesliga,2013,1 Bundesliga,CM,Tier_2,Tier_1,U25,Below1M,65to74,below65,EU
1 Bundesliga,2014,1 Bundesliga,CM,Tier_4,Tier_2,U25,Below1M,65to74,below65,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_4,Tier_1,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CF,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CF,Tier_1,Tier_2,U30,40Mto10M,75to84,75to84,EU
1 Bundesliga,2013,Other,CAM,Tier_4,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_4,Tier_3,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2013,1 Bundesliga,RW,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,LW,Tier_1,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,LW,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Premier Liga,2013,1 Bundesliga,CB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Liga Nos,2013,1 Bundesliga,CB,Tier_4,Tier_2,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2013,Other,CB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,RW,Tier_3,Tier_4,U21,Below1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RW,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RW,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,GK,Tier_1,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CDM,Tier_2,Tier_4,U21,Below1M,65to74,below65,EU
1 Bundesliga,2015,1 Bundesliga,CDM,Tier_2,Tier_2,U21,10Mto1M,85above,65to74,EU
1 Bundesliga,2013,1 Bundesliga,LW,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier Liga,2013,Primera Division,CAM,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_2,Tier_4,U25,10Mto1M,65to74,below65,EU
1 Bundesliga,2013,Other,CF,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,LB,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CM,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CM,Tier_3,Tier_1,U30,Below1M,75to84,65to74,EU
Primera Division,2014,1 Bundesliga,CM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Ligue 1,2014,1 Bundesliga,LB,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CDM,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2014,1 Bundesliga,GK,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2014,1 Bundesliga,CB,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CB,Tier_2,Tier_1,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2014,1 Bundesliga,CB,Tier_3,Tier_2,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,RB,Tier_1,Tier_2,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2014,1 Bundesliga,CF,Tier_3,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,Other,LW,Tier_4,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2014,1 Bundesliga,RW,Tier_4,Tier_2,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RW,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2014,1 Bundesliga,GK,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2014,1 Bundesliga,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Liga Nos,2014,1 Bundesliga,CAM,Tier_1,Tier_3,U21,Below1M,75to84,below65,EU
1 Bundesliga,2014,Other,CM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CM,Tier_3,Tier_2,U25,10Mto1M,75to84,below65,EU
1 Bundesliga,2014,Other,GK,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,RB,Tier_2,Tier_4,U25,10Mto1M,65to74,below65,EU
1 Bundesliga,2014,Other,CB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Primera Division,2014,Serie A,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,below65,EU
Premier League,2016,Ligue 1,CB,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2014,Other,GK,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2014,Other,LW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,LW,Tier_3,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CB,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CM,Tier_1,Tier_1,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CM,Tier_2,Tier_1,A30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CM,Tier_3,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CM,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
Premier League,2015,1 Bundesliga,CM,Tier_1,Tier_1,U30,10Mto1M,85above,85above,EU
Premier League,2015,1 Bundesliga,CDM,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CB,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RB,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RB,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RB,Tier_3,Tier_3,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CAM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2015,Other,RB,Tier_2,Tier_4,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2015,1 Bundesliga,GK,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2015,1 Bundesliga,CAM,Tier_1,Tier_2,U21,40Mto10M,85above,75to84,EU
Ligue 1,2016,1 Bundesliga,CAM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2015,1 Bundesliga,CM,Tier_4,Tier_2,U21,Below1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,Other,CDM,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2015,Other,RW,Tier_3,Tier_4,U21,10Mto1M,65to74,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RW,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RW,Tier_2,Tier_3,U25,Below1M,75to84,65to74,EU
Eredivisie,2015,1 Bundesliga,LW,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CF,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2015,Eredivisie,CF,Tier_2,Tier_3,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RB,Tier_2,Tier_3,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2015,1 Bundesliga,LB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,LB,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,LB,Tier_1,Tier_2,U30,40Mto10M,75to84,75to84,EU
1 Bundesliga,2015,1 Bundesliga,LB,Tier_4,Tier_3,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2015,Other,LB,Tier_3,Tier_4,U21,10Mto1M,65to74,below65,EU
1 Bundesliga,2015,1 Bundesliga,CB,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CB,Tier_3,Tier_3,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2015,1 Bundesliga,LB,Tier_2,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,CF,Tier_2,Tier_4,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CF,Tier_3,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CF,Tier_3,Tier_3,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2015,1 Bundesliga,GK,Tier_2,Tier_4,U21,Below1M,below65,65to74,EU
Serie A,2015,Other,LW,Tier_4,Tier_4,U25,Below1M,65to74,65to74,EU
Serie A,2017,Serie A,LW,Tier_4,Tier_4,U30,Below1M,65to74,65to74,EU
Eredivisie,2015,Other,LB,Tier_4,Tier_4,U21,Below1M,65to74,65to74,EU
Serie A,2017,Eredivisie,LB,Tier_2,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CM,Tier_1,Tier_3,U25,40Mto10M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CDM,Tier_3,Tier_1,U21,10Mto1M,65to74,65to74,EU
1 Bundesliga,2016,Other,CDM,Tier_1,Tier_4,U21,Below1M,65to74,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CDM,Tier_2,Tier_1,U25,40Mto10M,75to84,75to84,EU
Serie A,2016,1 Bundesliga,CM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Serie A,CM,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CB,Tier_2,Tier_4,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RB,Tier_2,Tier_4,U21,10Mto1M,65to74,below65,EU
1 Bundesliga,2016,1 Bundesliga,RB,Tier_1,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,RB,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CM,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CM,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2016,Other,RB,Tier_2,Tier_4,U21,Below1M,75to84,below65,EU
1 Bundesliga,2016,1 Bundesliga,CB,Tier_4,Tier_3,U25,Below1M,65to74,65to74,EU
Eredivisie,2016,1 Bundesliga,CM,Tier_4,Tier_2,U25,Below1M,65to74,below65,EU
1 Bundesliga,2016,1 Bundesliga,CF,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_2,Tier_2,U21,Below1M,75to84,65to74,EU
